Key,Frequency 1,Frequency 2,Phase Shift 1,Phase Shift 2
1,1209,697,4.247433267653401,0.012566370614359173
3,1477,697,0.9110618695410401,3.6253979222426214
7,1209,852,2.7300440159695305,5.783672075258809
4,1209,770,2.305929007734908,0.7602654221687299
#,1477,941,2.5603980126756816,4.329114676646735
0,1336,941,4.005530633326987,3.6882297753144173
5,1336,770,3.220132469929538,3.967831521483909
0,1336,941,0.5686282702997526,1.7875662198925923
3,1477,697,5.064247357586747,5.142787173926491
6,1477,770,1.718451181513617,1.8912387774610555
9,1477,852,2.9750882429495342,0.20734511513692636
9,1477,852,0.8388052385084748,4.571017310973149
7,1209,852,1.9854865570687494,2.780309498426967
*,1209,941,2.315353785695678,3.908141261065703
8,1336,852,0.7099999397112933,6.198362305532662
8,1336,852,5.8245127797554765,4.658981905273664
7,1209,852,2.199114857512855,2.752035164544659
0,1336,941,1.0398671683382217,0.08796459430051422
5,1336,770,1.2817698026646356,3.462035104255952
5,1336,770,4.527035013822892,1.7467255153959251
7,1209,852,2.708052867394402,3.7636279990005725
7,1209,852,3.3489377687267194,0.9047786842338604
7,1209,852,4.369955381143402,2.921681167838508
2,1336,697,4.762654462842127,0.8953539062730911
*,1209,941,6.07584019204266,0.7414158662471912
5,1336,770,1.2063715789784806,6.132388859807277
3,1477,697,4.828627908567512,6.031857894892403
#,1477,941,4.668406683234433,0.3989822670059037
1,1209,697,4.743804906920588,3.810751888804419
2,1336,697,2.5855307539043997,0.1947787445225672
0,1336,941,4.137477524777758,3.543716513249287
6,1477,770,1.108982206717197,3.615973144281852
0,1336,941,4.6841146465023815,0.7131415323648831
8,1336,852,4.5584509403587905,4.756371277534947
1,1209,697,3.1101767270538954,0.3769911184307752
2,1336,697,4.910309317560847,0.3298672286269283
6,1477,770,4.457919975443916,0.5277875658030853
#,1477,941,1.7341591447815659,1.231504320207199
2,1336,697,2.023185668911827,0.7257079029792423
7,1209,852,2.946813909067226,0.00942477796076938
6,1477,770,1.869247628885927,2.73632720127671
8,1336,852,0.7508406442079606,3.081902393171587
7,1209,852,1.4482742133048947,6.08840656265702
#,1477,941,4.049512930477244,1.762433478663874
#,1477,941,1.6838936623241292,4.790928796724435
2,1336,697,2.1237166338267004,1.1780972450961724
6,1477,770,4.3448226399146845,2.3279201563100367
8,1336,852,1.7058848108992577,5.532344662971626
#,1477,941,4.505043865247764,2.858849314766712
*,1209,941,5.381548215599316,4.3385394546075045
*,1209,941,3.248406803811846,0.5246459731494955
5,1336,770,3.2169908772759483,4.285132379496478
2,1336,697,1.4796901398407927,0.45553093477052004
3,1477,697,4.5364597917836615,5.145928766580082
6,1477,770,5.089380098815465,4.571017310973149
7,1209,852,2.403318379996192,3.267256359733385
9,1477,852,4.065220893745193,1.247212283475148
3,1477,697,4.5553093477052,0.06597344572538566
2,1336,697,6.182654342264713,5.1773446931159794
0,1336,941,0.5340707511102648,5.255884509455724
7,1209,852,0.48694686130641796,2.173982116284137
6,1477,770,1.4671237692264334,5.105088062083414
8,1336,852,5.915618966709581,3.6002651810139032
8,1336,852,2.8651325000738916,0.09110618695410401
8,1336,852,3.7290704798110847,0.44924774946334045
6,1477,770,3.9866810774054477,4.162610266006476
5,1336,770,1.0430087609918113,1.3854423602330987
9,1477,852,3.961548336176729,0.6723008278682158
6,1477,770,5.31871636252752,3.722787294503905
3,1477,697,6.280043714525997,6.157521601035995
2,1336,697,0.3989822670059037,2.1645573383233674
#,1477,941,1.4325662500369458,5.406680956828034
*,1209,941,4.624424386084176,2.7111944600479916
#,1477,941,2.243097154663112,2.422167935917731
4,1209,770,5.538627848278805,2.3907520093818326
3,1477,697,6.248627787990099,5.673716332383167
4,1209,770,0.5215043804959056,1.2440706908215582
#,1477,941,1.4357078426905356,1.259778654089507
2,1336,697,3.132167875629024,2.064026373408494
3,1477,697,3.5123005867133887,1.8095573684677209
#,1477,941,4.008672225980576,0.8262388678941156
4,1209,770,2.035752039526186,3.3238050274980013
8,1336,852,4.244291674999811,0.17592918860102844
9,1477,852,4.8537606497962305,3.710220923889546
2,1336,697,5.648583591154448,0.49323004661359754
6,1477,770,4.024380189248525,3.402344843837746
7,1209,852,4.668406683234433,5.714557036879834
6,1477,770,5.582610145429062,5.742831370762143
6,1477,770,2.2839378591597796,1.856681258271568
5,1336,770,0.7037167544041137,3.5845572177459544
8,1336,852,1.1969468010177113,0.14765485471872028
1,1209,697,4.511327050554943,0.4618141200776996
*,1209,941,1.6964600329384885,1.6807520696705394
#,1477,941,4.322831491339556,2.2462387473167023
3,1477,697,3.480884660177491,4.762654462842127
6,1477,770,1.259778654089507,4.847477464489051
1,1209,697,1.1498229112138643,3.2546899891190257
1,1209,697,2.563539605329271,4.275707601535709
6,1477,770,5.054822579625977,5.610884479311371
2,1336,697,3.204424506661589,4.618141200776996
6,1477,770,2.786592683734147,1.3414600630828417
*,1209,941,3.0913271711323564,5.871636669559324
#,1477,941,0.9550441666912972,0.8953539062730911
*,1209,941,0.7634070148223198,5.16791991515521
8,1336,852,3.8233182594187785,0.06283185307179587
0,1336,941,1.2095131716320704,3.2735395450405647
5,1336,770,3.64738907081775,2.5038493449110653
#,1477,941,3.132167875629024,0.08796459430051422
2,1336,697,4.165751858660066,6.025574709585223
*,1209,941,1.6996016255920783,3.069336022557228
6,1477,770,0.9801769079200155,4.894601354292898
#,1477,941,3.4777430675239014,3.314380249537232
6,1477,770,4.4924774946334045,0.16964600329384885
3,1477,697,4.483052716672635,5.136503988619312
8,1336,852,1.6273449945595129,3.7259288871574947
9,1477,852,0.40212385965949354,2.082875929330033
9,1477,852,3.920707631680062,1.9823449644151596
4,1209,770,3.9018580757585233,4.115486376202629
5,1336,770,2.309070600388498,3.8327430373795477
9,1477,852,6.154380008382405,5.642300405847269
1,1209,697,1.8409732950036188,3.358362546687489
5,1336,770,1.3917255455402784,3.5751324397851847
8,1336,852,0.25761059759436306,4.401371307679301
3,1477,697,4.209734155810323,4.360530603182633
5,1336,770,2.7614599425054283,5.601459701350602
1,1209,697,1.0587167242597604,0.8482300164692442
3,1477,697,5.595176516043422,0.08796459430051422
#,1477,941,0.2324778563656447,2.1080086705587515
*,1209,941,3.79818551819006,3.713362516543136
0,1336,941,1.6084954386379742,3.923849224333652
4,1209,770,3.738495257771854,1.4922565104551517
2,1336,697,4.7092473877311,5.026548245743669
0,1336,941,3.3992032511841566,2.9593802796815853
*,1209,941,2.2996458224277285,1.6650441064025905
2,1336,697,4.486194309326224,1.4074335088082275
*,1209,941,1.1309733552923256,1.8535396656179781
#,1477,941,4.476769531365456,1.2692034320502765
1,1209,697,3.6253979222426214,3.612831551628262
5,1336,770,2.491282974296706,0.8639379797371931
9,1477,852,1.8912387774610555,3.515442179366979
8,1336,852,4.118627968856219,0.8105309046261667
9,1477,852,0.5529203070318036,3.9835394847518577
3,1477,697,5.296725213952391,4.25999963826776
0,1336,941,2.8211502029236346,4.049512930477244
*,1209,941,5.324999547834699,1.8001325905069516
*,1209,941,3.95526515086955,3.9112828537192925
6,1477,770,5.193052656383928,0.41783182292744253
1,1209,697,4.222300526424682,2.6577873849369653
2,1336,697,2.261946710584651,4.329114676646735
4,1209,770,0.9644689446520666,0.1884955592153876
8,1336,852,4.2128757484639126,5.2873004359916225
0,1336,941,5.6925658883047054,4.545884569744431
0,1336,941,5.2873004359916225,6.151238415728815
0,1336,941,2.422167935917731,6.138672045114456
2,1336,697,3.970973114137499,5.01084028247572
9,1477,852,4.241150082346221,2.676636940858504
#,1477,941,3.904999668412113,5.560618996853934
3,1477,697,4.969999577979053,0.025132741228718346
2,1336,697,2.1331414117874696,5.764822519337271
0,1336,941,2.265088303238241,0.8984954989266809
5,1336,770,5.918760559363171,0.09110618695410401
#,1477,941,6.0821233773498395,0.6471680866394974
2,1336,697,2.6860617188192735,1.8755308141931066
*,1209,941,0.25761059759436306,1.8818139995002863
5,1336,770,3.2766811376941543,0.2670353755551324
1,1209,697,1.1121237993707869,0.07853981633974483
3,1477,697,3.3960616585305665,1.077566280181299
4,1209,770,4.904026132253668,0.7131415323648831
6,1477,770,5.573185367468294,1.1372565405995052
5,1336,770,3.5028758087526195,3.4557519189487724
2,1336,697,4.674689868541613,5.315574769873931
5,1336,770,4.922875688175206,5.039114616358028
2,1336,697,3.5374333279421073,0.4241150082346221
9,1477,852,5.343849103756239,1.0210176124166828
3,1477,697,2.73632720127671,2.2902210444669593
*,1209,941,4.6841146465023815,4.3385394546075045
3,1477,697,2.522698900832604,0.19792033717615698
#,1477,941,6.019291524278044,6.1041145259249685
0,1336,941,5.211902212305467,2.3342033416172163
9,1477,852,1.2629202467430969,1.8346901096964392
1,1209,697,3.056769651942869,3.603406773667493
8,1336,852,4.611858015469816,0.2356194490192345
6,1477,770,4.69982260977033,4.7500880922277675
6,1477,770,5.576326960121883,6.188937527571893
7,1209,852,5.903052596095222,0.8262388678941156
2,1336,697,3.9018580757585233,2.5164157155254245
8,1336,852,2.7017696820872223,5.1993358416911075
0,1336,941,6.261194158604458,2.3624776754995245
1,1209,697,5.0736721355475165,4.093495227627501
5,1336,770,4.696681017116741,4.325973083993145
8,1336,852,3.612831551628262,5.095663284122645
5,1336,770,3.4840262528310806,3.5374333279421073
2,1336,697,5.997300375702915,4.847477464489051
0,1336,941,0.04398229715025711,0.471238898038469
4,1209,770,4.891459761639308,5.328141140488289
1,1209,697,0.8733627576979626,0.22305307840487532
0,1336,941,6.016149931624454,0.1916371518689774
5,1336,770,4.423362456254429,0.2827433388230814
6,1477,770,6.016149931624454,1.8032741831605414
3,1477,697,4.121769561509809,5.189911063730339
0,1336,941,6.163804786343174,3.7636279990005725
8,1336,852,4.184601414581604,4.476769531365456
3,1477,697,6.028716302238814,2.384468824074653
0,1336,941,2.101725485251572,6.129247267153687
#,1477,941,2.12999981913388,0.5717698629533424
0,1336,941,5.903052596095222,1.944645852572082
0,1336,941,0.07539822368615504,2.6232298657474775
4,1209,770,4.216017341117503,5.262167694762904
7,1209,852,2.463008640414398,1.6273449945595129
2,1336,697,0.5215043804959056,1.9823449644151596
2,1336,697,2.8965484266097894,3.9395571876016007
2,1336,697,2.9845130209103035,3.9018580757585233
6,1477,770,3.7636279990005725,3.389778473223387
1,1209,697,5.849645520984195,1.7373007374351557
8,1336,852,4.649557127312894,0.20734511513692636
5,1336,770,3.64738907081775,6.163804786343174
5,1336,770,3.452610326295183,0.5529203070318036
7,1209,852,4.225442119078272,6.028716302238814
3,1477,697,5.840220743023425,2.1519909677090086
*,1209,941,0.7853981633974483,5.77738888995163
7,1209,852,1.4985396957623314,2.2305307840487534
7,1209,852,2.475575011028757,1.2566370614359172
4,1209,770,5.93132692997753,4.41079608564007
5,1336,770,4.608716422816227,5.504070329089318
0,1336,941,4.112344783549039,0.4303981935418017
4,1209,770,5.7365481854549625,6.2077870834934314
9,1477,852,3.025353725406971,0.09110618695410401
*,1209,941,5.6705747397295765,5.400397771520855
#,1477,941,1.9854865570687494,5.541769440932395
8,1336,852,0.7853981633974483,4.740663314266998
9,1477,852,5.397256178867265,2.101725485251572
#,1477,941,4.030663374555705,5.551194218893165
1,1209,697,2.1865484868984963,4.885176576332128
9,1477,852,4.077787264359552,5.997300375702915
6,1477,770,5.636017220540089,0.7759733854366789
1,1209,697,2.5603980126756816,4.25685804561417
8,1336,852,3.5908404030531336,4.904026132253668
1,1209,697,5.6265924425793195,4.6621234979272534
#,1477,941,4.40765449298648,4.439070419522378
9,1477,852,3.7353536651182644,1.0587167242597604
0,1336,941,1.2660618393966867,2.7426103865838893
6,1477,770,5.3092915845667505,0.6031857894892403
#,1477,941,2.1237166338267004,2.629513051054657
6,1477,770,2.6515041996297857,5.054822579625977
5,1336,770,3.873583741876215,3.6819465900072377
4,1209,770,1.4451326206513049,0.12252211349000194
8,1336,852,4.0212385965949355,3.7007961459287766
6,1477,770,4.888318168985719,3.631681107549801
3,1477,697,6.160663193689585,1.8503980729643883
5,1336,770,1.5299556222982293,5.604601294004191
8,1336,852,1.82526533173567,0.5183627878423159
4,1209,770,5.381548215599316,4.077787264359552
1,1209,697,2.8525661294595324,3.0756192078644076
6,1477,770,2.8934068339562,0.11938052083641215
5,1336,770,2.598097124518759,5.708273851572654
6,1477,770,5.585751738082653,1.460840583919254
4,1209,770,4.847477464489051,3.2264156552367176
1,1209,697,2.261946710584651,1.4576989912656642
4,1209,770,0.35185837720205687,3.141592653589793
8,1336,852,4.325973083993145,0.9770353152664257
9,1477,852,3.053628059289279,2.9593802796815853
4,1209,770,4.71238898038469,2.4692918257215775
*,1209,941,4.379380159104172,0.48066367599923837
0,1336,941,4.907167724907257,3.2107076919687687
*,1209,941,1.4985396957623314,2.145707782401829
*,1209,941,4.954291614711104,4.172035043967245
2,1336,697,1.8503980729643883,3.9898226700590373
9,1477,852,0.5686282702997526,0.6157521601035995
#,1477,941,1.306902543893354,0.4209734155810323
7,1209,852,6.220353454107791,2.359336082845935
3,1477,697,3.663097034085699,6.1480968230752255
7,1209,852,6.22349504676138,3.0190705400997913
6,1477,770,4.325973083993145,4.926017280828796
4,1209,770,2.752035164544659,5.359557067024188
5,1336,770,4.4045129003328904,4.071504079052372
7,1209,852,4.976282763286233,5.8842030401736825
7,1209,852,3.3646457319946688,2.173982116284137
6,1477,770,4.39822971502571,3.980397892098268
